case,original_votes_of_3,library_template,final_preference_two_orders,original_revision,library_revision,original_url,library_url,original_wow_AB_BA,library_wow_AB_BA
school-audience-not-demo-topic,2,weather-watchers,library,r4,r4,https://staging.gamma.app/docs/y68amdqvye7sdqi,https://staging.gamma.app/docs/4kdluysmbv21beu,occasional/occasional,occasional/absent
adult-audience-same-topic,1,verdict,original,r6,r6,https://staging.gamma.app/docs/ga5ilnt10eltgpl,https://staging.gamma.app/docs/lpsvj7aapuzjm9q,occasional/occasional,absent/occasional
hairstyle-portfolio-needs-imagery,0,voile,original,r3,r3,https://staging.gamma.app/docs/8w9u188vcr2fqkm,https://staging.gamma.app/docs/bnvw0ramfpsjktn,occasional/sustained,occasional/occasional
three-distinct-business-choices,0,quarterlight,inconclusive,r3,r3,https://staging.gamma.app/docs/u21j9hj5dt5kou1,https://staging.gamma.app/docs/aovxo5n6v020dmn,occasional/occasional,occasional/occasional
explicit-dark-overrides-color-variety,1,blackwork,original,r5,r5,https://staging.gamma.app/docs/yuiroqc3usocwl2,https://staging.gamma.app/docs/3e7eyw77oyrln2t,occasional/sustained,absent/occasional
premium-wellness-with-explicit-style,3,palmhouse,library,r5,r5,https://staging.gamma.app/docs/xj4dvufdi4f1wsk,https://staging.gamma.app/docs/223py4hzs9h5v5t,occasional/occasional,occasional/sustained
preserve-dense-text-return-fewer,0,readable-detail,original,r4,r4,https://staging.gamma.app/docs/o7uw1jtprtirao1,https://staging.gamma.app/docs/mst26hzwnpm4pjr,occasional/occasional,occasional/occasional
big-bang-for-a-pirate,3,star-trails,original,r8,r8,https://staging.gamma.app/docs/qziijjcsddcff6h,https://staging.gamma.app/docs/bm9hs8gketiif2s,sustained/sustained,occasional/occasional
feedback-negative-09-authentication-portal,3,pipeline,original,r4,r4,https://staging.gamma.app/docs/829nw2qbjoow8qa,https://staging.gamma.app/docs/y9ehq1i3ccvfksp,occasional/occasional,absent/absent
feedback-negative-10-visual-communication-history,3,classic-editorial,original,r4,r4,https://staging.gamma.app/docs/4hjzqjz7yamsrnk,https://staging.gamma.app/docs/7nxx1vcxwl0tg86,occasional/occasional,absent/occasional
feedback-negative-16-history-for-children,1,story-map,original,r5,r5,https://staging.gamma.app/docs/tmu6o2ru86cjwyi,https://staging.gamma.app/docs/mxisnxy4m0xaz1h,occasional/occasional,absent/absent
feedback-negative-25-hegel-philosophy,0,marginalia,original,r4,r4,https://staging.gamma.app/docs/0ojnf3doz5xy04l,https://staging.gamma.app/docs/pfl0l1youiiktp3,sustained/sustained,occasional/occasional
feedback-negative-31-agricultural-machinery,1,lecture-hall,original,r5,r5,https://staging.gamma.app/docs/7t8x38lc07ef933,https://staging.gamma.app/docs/2rbk1xrniucbmeg,occasional/occasional,absent/occasional
feedback-negative-39-vietnamese-literature,0,marginalia,original,r4,r4,https://staging.gamma.app/docs/5oku8pl5e0bymwn,https://staging.gamma.app/docs/z7ifstrymsrd9t4,sustained/occasional,occasional/absent
