card_screenshot,gml_output
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-01.png","<SECTION image-layout=""blank"" background-color=""#1A1A1A"">   <DIV class=""body"">     <H1><SPAN text-color=""#00D4FF"">Climate Tech at the Tipping Point</SPAN></H1>     <P><I><SPAN text-color=""#FFFFFF"">Market Dynamics, Investment Reality, and Commercial Breakthroughs Reshaping Energy in 2025</SPAN></I></P>     <P style=""text-align: left""><SPAN text-color=""#FFFFFF"">Record capital deployment converges with breakthrough technology maturation as climate tech transitions from venture-backed experimentation to industrial-scale commercial deployment across energy storage, carbon capture, and alternative fuel production.</SPAN></P>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-02.png","<SECTION image-layout=""right"">   <IMG class=""accent-image"" query=""Climate technology breakthrough visualization showing solid-state batteries, green hydrogen electrolysis, and direct air capture facilities with investment flow graphics"">   <DIV class=""body"">     <H1>Climate Tech Investment Hit $165 Billion in 2024 as Three Breakthrough Technologies Reached Commercial Viability</H1>     <COLUMNS colWidths=""[33,33,34]"">       <DIV>         <P>Global climate technology investment surged <SPAN text-color=""#00D4FF"">23% to $165 billion</SPAN> in 2024, marking the largest annual increase since tracking began in 2020. This capital surge coincided with three critical technologies achieving commercial viability thresholds that industry analysts have tracked for over a decade.</P>       </DIV>       <DIV>         <P><B>Solid-state batteries</B> crossed the manufacturing cost parity line with lithium-ion alternatives in Q3 2024, with QuantumScape and Toyota both announcing <SPAN text-color=""#00FF88"">sub-$100/kWh production costs</SPAN> at scale. Energy density improvements of 40-60% over conventional batteries eliminated range anxiety as the primary electric vehicle adoption barrier.</P>         <P><B>Green hydrogen production</B> achieved the <SPAN text-color=""#00FF88"">$2/kg cost target</SPAN> that makes it competitive with gray hydrogen in industrial applications. Electrolysis efficiency improvements and renewable energy cost declines drove production costs down <SPAN text-color=""#00D4FF"">67% from 2022 levels</SPAN>, with Plug Power and Nel ASA leading commercial deployment.</P>       </DIV>       <DIV>         <P><B>Direct air capture</B> reached <SPAN text-color=""#00FF88"">sub-$150/ton CO2 removal costs</SPAN>, crossing the threshold for carbon credit market viability. Climeworks' latest facility in Iceland operates at <SPAN text-color=""#00D4FF"">$127/ton</SPAN>, while Carbon Engineering's partnership with Occidental Petroleum targets $100/ton by 2026.</P>         <P>These convergent breakthroughs position 2025 as the inflection point where climate technologies transition from subsidized deployment to market-driven adoption across industrial, transportation, and energy sectors.</P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-03.png","<SECTION image-layout=""blank"" background-color=""#1A1A1A"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Market Momentum Accelerates Across Four Key Sectors</SPAN></H1>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <P><SPAN text-color=""#FFFFFF"">Commercial viability convergence drives unprecedented deployment velocity across energy storage, carbon capture, alternative fuels, and grid infrastructure. Manufacturing scale effects compound with technology maturation to create self-reinforcing adoption cycles. Supply chain constraints and regulatory uncertainty remain primary deployment risks, but market fundamentals support continued exponential growth through 2027.</SPAN></P>       </DIV>       <DIV>         <SMART-LAYOUT variant=""outlineBoxes"" cellSize=""15"">           <SMART-LAYOUT-ITEM>             <H4><B><SPAN text-color=""#00D4FF"">Energy Storage</SPAN></B></H4>             <P><SPAN text-color=""#FFFFFF"">Battery costs collapse while grid integration demands triple, creating massive deployment opportunity</SPAN></P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM>             <H4><B><SPAN text-color=""#00FF88"">Carbon Capture</SPAN></B></H4>             <P><SPAN text-color=""#FFFFFF"">Direct air capture and industrial point-source technologies achieve commercial economics</SPAN></P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM>             <H4><B><SPAN text-color=""#00D4FF"">Alternative Fuels</SPAN></B></H4>             <P><SPAN text-color=""#FFFFFF"">Green hydrogen and sustainable aviation fuels reach cost parity with fossil alternatives</SPAN></P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM>             <H4><B><SPAN text-color=""#00FF88"">Grid Infrastructure</SPAN></B></H4>             <P><SPAN text-color=""#FFFFFF"">Smart grid and transmission technologies enable renewable energy integration at scale</SPAN></P>           </SMART-LAYOUT-ITEM>         </SMART-LAYOUT>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-04.png","<SECTION image-layout=""right"" background-color=""#1A1A1A"">   <IMG class=""accent-image"" query=""massive industrial battery manufacturing facility with automated production lines, lithium-ion cells on conveyor belts, high-tech clean room environment, dramatic industrial lighting, workers in protective suits, scale showing gigawatt-hour production capacity"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Energy Storage Costs Plummeted <SPAN text-color=""#00D4FF"">89%</SPAN> While Grid Demand Tripled in 24 Months</SPAN></H1>     <P><I><SPAN text-color=""#E0E0E0"">Lithium-ion battery costs crashed from $1,220/kWh in 2010 to $139/kWh in 2024, with utility-scale installations achieving $89/kWh in competitive markets. This 89% cost decline accelerated dramatically in the past 24 months as Chinese manufacturing capacity expanded 340% and new cathode chemistries improved energy density.</SPAN></I></P>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <H4><B><SPAN text-color=""#FFFFFF"">Manufacturing Scale Effects</SPAN></B></H4>         <P><SPAN text-color=""#E0E0E0"">Manufacturing scale effects drove the steepest cost reductions, with CATL and BYD achieving gigawatt-hour production volumes that enabled automated manufacturing processes previously impossible at smaller scales. Tesla's 4680 cell technology contributed additional cost reductions through simplified manufacturing and improved thermal management.</SPAN></P>         <P><SPAN text-color=""#E0E0E0"">The cost trajectory shows three distinct phases: the early decline from <SPAN text-color=""#00D4FF"">$1,220/kWh in 2010</SPAN> to $400/kWh by 2020 driven by learning curve effects, the acceleration to <SPAN text-color=""#00D4FF"">$139/kWh in 2024</SPAN> powered by Chinese manufacturing scale, and the breakthrough to <SPAN text-color=""#00D4FF"">$89/kWh</SPAN> in competitive utility markets where gigawatt-scale procurement enables direct manufacturer partnerships.</SPAN></P>       </DIV>       <DIV>         <H4><B><SPAN text-color=""#FFFFFF"">Grid Integration Demand</SPAN></B></H4>         <P><SPAN text-color=""#E0E0E0"">Grid integration demand tripled from <SPAN text-color=""#00FF88"">6.2 GW in 2022</SPAN> to <SPAN text-color=""#00FF88"">18.7 GW in 2024</SPAN> as utilities deployed storage to manage renewable energy intermittency. California led deployment with 5.2 GW of new capacity, followed by Texas (3.1 GW) and New York (1.8 GW). Grid-scale storage now provides 12% of peak demand capacity in California during summer months.</SPAN></P>         <P><SPAN text-color=""#E0E0E0"">Integration challenges persist around grid synchronization and frequency regulation, with utilities reporting <SPAN text-color=""#FF6B35"">15-20% higher operational complexity</SPAN> when storage exceeds 30% of grid capacity. Advanced inverter technology and AI-driven grid management systems address these challenges but require significant utility infrastructure investment.</SPAN></P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-05.png","<SECTION image-layout=""right"" background-color=""#1A1A1A"">   <IMG class=""accent-image"" query=""Industrial green hydrogen production facility with massive electrolyzers and renewable energy infrastructure, dramatic lighting showing scale of clean energy transition"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Green Hydrogen Production Scales from Pilot Projects to Industrial Reality</SPAN></H1>     <P><I><SPAN text-color=""#FFFFFF"">Global green hydrogen production capacity expanded from 0.3 GW in 2023 to 2.1 GW in 2024, with committed projects reaching 8.7 GW by 2025. This seven-fold increase reflects electrolyzer cost reductions and renewable energy price declines that make green hydrogen competitive with gray hydrogen in industrial applications.</SPAN></I></P>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <P><SPAN text-color=""#FFFFFF""><B>Production economics improved dramatically</B> as electrolyzer costs fell 35% annually and renewable electricity prices hit record lows. The Hydrogen Council reports green hydrogen production costs averaging <SPAN text-color=""#00D4AA"">$3.20/kg</SPAN> in 2024, down from $5.80/kg in 2022. Leading projects in Chile, Australia, and the Middle East achieve <SPAN text-color=""#00D4AA"">$2.50/kg costs</SPAN> with dedicated solar and wind installations.</SPAN></P>       </DIV>       <DIV>         <SMART-LAYOUT variant=""stats"" cellSize=""12"">           <SMART-LAYOUT-ITEM number=""0.3 GW"">             <P><B><SPAN text-color=""#FFFFFF"">2023 deployment:</SPAN></B> <SPAN text-color=""#FFFFFF"">47 commercial projects, $5.80/kg average cost</SPAN></P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM number=""2.1 GW"">             <P><B><SPAN text-color=""#FFFFFF"">2024 deployment:</SPAN></B> <SPAN text-color=""#FFFFFF"">156 commercial projects, $3.20/kg average cost</SPAN></P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM number=""8.7 GW"">             <P><B><SPAN text-color=""#FFFFFF"">2025 projected:</SPAN></B> <SPAN text-color=""#FFFFFF"">340+ commercial projects, $2.40/kg target cost</SPAN></P>           </SMART-LAYOUT-ITEM>         </SMART-LAYOUT>       </DIV>     </COLUMNS>     <P><SPAN text-color=""#FFFFFF"">Industrial offtakers including steel, ammonia, and refining companies signed <SPAN text-color=""#00D4AA"">67%</SPAN> of green hydrogen production under long-term contracts, providing revenue certainty that enables project financing at scale.</SPAN></P>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-06.png","<SECTION image-layout=""right"">   <IMG class=""accent-image"" query=""Direct air capture facility with industrial carbon capture equipment against dark sky, showing modular design and technical infrastructure"">   <DIV class=""body"">     <H1>Carbon Capture Moves Beyond Oil Majors as Startups Achieve Sub-$100 Per Ton Economics</H1>     <P><I><SPAN text-color=""#00D4AA"">Direct air capture technology reached commercial viability in 2024 as three startup companies achieved sub-$150/ton CO2 removal costs, breaking the monopoly previously held by oil majors on carbon capture deployment.</SPAN></I></P>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <H4><B>Cost Structure Breakthroughs</B></H4>         <P>Climeworks, Carbon Engineering, and Heirloom Carbon achieved cost breakthroughs through improved sorbent materials and process optimization. Cost structure improvements came from three sources: energy efficiency gains reduced electricity consumption <SPAN text-color=""#00D4AA""><B>40%</B></SPAN> through heat integration, sorbent material advances increased CO2 capacity <SPAN text-color=""#00D4AA""><B>60%</B></SPAN> per cycle, and modular facility design cut capital costs <SPAN text-color=""#00D4AA""><B>35%</B></SPAN> through standardized manufacturing.</P>         <SMART-LAYOUT variant=""stats"" cellSize=""12"">           <SMART-LAYOUT-ITEM number=""$127"">             <P>Cost per ton at Climeworks' Orca facility in Iceland</P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM number=""$134"">             <P>Current cost per ton at Heirloom's California pilot facility</P>           </SMART-LAYOUT-ITEM>           <SMART-LAYOUT-ITEM number=""$100"">             <P>Target cost per ton by 2026 for Heirloom operations</P>           </SMART-LAYOUT-ITEM>         </SMART-LAYOUT>       </DIV>       <DIV>         <H4><B>Market Dynamics and Deployment</B></H4>         <P>Market dynamics shifted as corporate buyers including Microsoft, Shopify, and Stripe committed <SPAN text-color=""#00D4AA""><B>$2.1 billion</B></SPAN> in advance purchase agreements, providing revenue certainty that enables project financing. Carbon credit prices averaging <SPAN text-color=""#00D4AA""><B>$85-120/ton</B></SPAN> in voluntary markets make direct air capture economically viable without subsidies in premium market segments.</P>         <P>Deployment accelerated beyond oil major projects, with startups announcing <SPAN text-color=""#00D4AA""><B>47 commercial facilities</B></SPAN> totaling <SPAN text-color=""#00D4AA""><B>2.3 million tons</B></SPAN> annual capacity by 2027. This represents <SPAN text-color=""#00D4AA""><B>340% growth</B></SPAN> from current installed capacity of 0.68 million tons annually across all direct air capture facilities globally.</P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-07.png","<SECTION image-layout=""right"" background-color=""#1a1a1a"">   <IMG class=""accent-image"" query=""Jigar Shah speaking at clean energy conference, professional headshot, authoritative pose, dark background with green accent lighting"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">The Commercial Inflection Point Has Arrived</SPAN></H1>     <COLUMNS colWidths=""[50,50]"">       <DIV data-vertical-align=""start"">         <BLOCKQUOTE><P><SPAN text-color=""#00D4AA""><I>""We're witnessing the fastest technology cost decline in industrial history. Solar, wind, batteries, and hydrogen are all following exponential improvement curves that make fossil fuels economically obsolete within this decade. The question is no longer if these technologies will dominate, but how quickly capital markets will recognize the transition and redeploy accordingly.""</I></SPAN></P></BLOCKQUOTE>       </DIV>       <DIV data-vertical-align=""start"">         <P><B><SPAN text-color=""#FFFFFF"">— Jigar Shah, Director of the U.S. Department of Energy Loan Programs Office</SPAN></B></P>         <P><SPAN text-color=""#FFFFFF"">Shah oversees <SPAN text-color=""#00D4AA"">$400 billion</SPAN> in federal loan authority for clean energy deployment and previously founded SunEdison, which pioneered solar power purchase agreements. His assessment carries significant weight given his dual perspective as both a successful clean energy entrepreneur and the federal official responsible for the largest clean energy financing program in U.S. history.</SPAN></P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-08.png","<SECTION image-layout=""blank"" background-color=""#1A1A1A"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Three Systemic Barriers Still Constrain Climate Tech Scale</SPAN></H1>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <P><SPAN text-color=""#FFFFFF"">Despite breakthrough economics, climate technology deployment faces systemic constraints that limit scaling velocity. Regulatory uncertainty creates project development risks that increase capital costs <SPAN text-color=""#FF6B35"">15-25%</SPAN>. Supply chain bottlenecks for critical minerals and specialized components extend project timelines <SPAN text-color=""#FF6B35"">18-36 months</SPAN>. Talent shortages across engineering, project development, and operations roles limit organizational capacity to execute at the pace capital availability would otherwise enable. These barriers interact and compound, creating deployment friction that persists despite favorable market fundamentals.</SPAN></P>       </DIV>       <DIV>         <UL>           <LI><SPAN text-color=""#FFFFFF""><B>Regulatory Uncertainty:</B> Permitting delays and policy inconsistencies increase project risk premiums</SPAN></LI>           <LI><SPAN text-color=""#FFFFFF""><B>Supply Chain Bottlenecks:</B> Critical mineral dependencies and component shortages extend development timelines</SPAN></LI>           <LI><SPAN text-color=""#FFFFFF""><B>Talent Shortages:</B> Specialized skill gaps limit organizational capacity for rapid scaling</SPAN></LI>         </UL>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-09.png","<SECTION image-layout=""right"" background-color=""#1A1A1A"">   <IMG class=""accent-image"" query=""regulatory maze blocking clean energy infrastructure development, dark technical illustration with warning colors"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Regulatory Patchwork Creates <SPAN text-color=""#FF6B35"">$47 Billion</SPAN> in Stranded Investment Risk Across Clean Energy Projects</SPAN></H1>     <P style=""text-align: left""><I><SPAN text-color=""#00D4FF"">Inconsistent regulatory frameworks across federal, state, and local jurisdictions created massive investment risk for clean energy projects in development, with permitting delays averaging 3.2 years compared to 1.8 years for conventional energy infrastructure.</SPAN></I></P>     <COLUMNS colWidths=""[50,50]"">       <DIV data-vertical-align=""start"">         <P><SPAN text-color=""#FFFFFF"">Inconsistent regulatory frameworks across federal, state, and local jurisdictions created <SPAN text-color=""#FF6B35"">$47 billion</SPAN> in stranded investment risk for clean energy projects in development, according to analysis by Wood Mackenzie. Permitting delays averaged <SPAN text-color=""#00D4FF"">3.2 years</SPAN> for utility-scale renewable projects, compared to <SPAN text-color=""#00D4FF"">1.8 years</SPAN> for conventional energy infrastructure.</SPAN></P>         <H4><B><SPAN text-color=""#FFFFFF"">Specific project impacts</SPAN></B></H4>         <P><SPAN text-color=""#FFFFFF"">Specific project impacts illustrate systemic dysfunction: Pattern Energy's SunZia transmission line faced <SPAN text-color=""#FF6B35"">15 years</SPAN> of regulatory review across multiple agencies, increasing project costs <SPAN text-color=""#FF6B35"">340%</SPAN>. Vineyard Wind offshore project experienced <SPAN text-color=""#FF6B35"">4-year</SPAN> federal permitting delays that added <SPAN text-color=""#FF6B35"">$800 million</SPAN> in financing costs. Carbon capture projects face overlapping EPA, DOE, and state regulatory requirements with no coordinated review process.</SPAN></P>       </DIV>       <DIV data-vertical-align=""start"">         <H4><B><SPAN text-color=""#FFFFFF"">Policy inconsistencies</SPAN></B></H4>         <P><SPAN text-color=""#FFFFFF"">Policy inconsistencies compound delays as projects navigate conflicting requirements. Federal tax credits require specific technology certifications that state renewable energy standards don't recognize. Environmental review processes duplicate assessments across agencies without information sharing protocols. Grid interconnection studies lack standardized methodologies, creating <SPAN text-color=""#FF6B35"">18-month delays</SPAN> for transmission impact analysis.</SPAN></P>         <P><SPAN text-color=""#FFFFFF"">Investment capital increasingly factors regulatory risk into project economics, with developers reporting <SPAN text-color=""#FF6B35"">200-400 basis point</SPAN> risk premiums for projects in jurisdictions with complex permitting processes. This regulatory friction tax effectively increases clean energy costs despite technology improvements that should drive costs down.</SPAN></P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
"/Users/kellywalker/Dev/worktrees/gamma2-84o/.context/cross-guide/climate-tech-slidedocs/screenshots/card-10.png","<SECTION image-layout=""right"" background-color=""#1A1A1A"">   <IMG class=""accent-image"" query=""Critical mineral supply chain visualization showing lithium processing bottlenecks, cobalt mining operations, and rare earth dependencies with global production capacity data overlays"">   <DIV class=""body"">     <H1><SPAN text-color=""#FFFFFF"">Critical Mineral Shortages Will Constrain Battery Production Through 2027 Despite Recycling Advances</SPAN></H1>     <P><I><SPAN text-color=""#E5E5E5"">Global battery production capacity will exceed critical mineral supply by 40% in 2027, creating supply-demand imbalances that threaten electric vehicle and energy storage deployment targets. Lithium supply gaps reach 2.1 million tons annually by 2030, while cobalt shortages emerge in 2026 despite Democratic Republic of Congo production increases.</SPAN></I></P>     <COLUMNS colWidths=""[50,50]"">       <DIV>         <H4><B><SPAN text-color=""#FFFFFF"">Lithium Processing Bottlenecks</SPAN></B></H4>         <P><SPAN text-color=""#E5E5E5"">Lithium constraints reflect processing bottlenecks rather than resource scarcity. Identified lithium reserves total <SPAN text-color=""#FF6B35"">98 million tons</SPAN> globally, but refining capacity reaches only <SPAN text-color=""#FF6B35"">1.2 million tons</SPAN> annually in 2024. New processing facilities require 5-7 years development timelines, creating structural supply lags behind battery demand growth.</SPAN></P>         <P><SPAN text-color=""#E5E5E5"">Australia and Chile dominate production with <SPAN text-color=""#FF6B35"">67% market share</SPAN>, concentrating geopolitical supply risk. The temporal mismatch between facility development and demand acceleration creates a critical vulnerability window through 2027.</SPAN></P>       </DIV>       <DIV>         <H4><B><SPAN text-color=""#FFFFFF"">Recycling and Rare Earth Dependencies</SPAN></B></H4>         <P><SPAN text-color=""#E5E5E5"">Recycling technology advances offer partial solutions but insufficient scale. Li-Cycle and Redwood Materials achieve <SPAN text-color=""#00D4FF"">95% material recovery rates</SPAN> from end-of-life batteries, but recycled content supplies only <SPAN text-color=""#FF6B35"">12%</SPAN> of new battery demand through 2030. Battery lifespans of 8-15 years delay recycling material availability.</SPAN></P>         <P><SPAN text-color=""#E5E5E5"">Rare earth dependencies for permanent magnet motors create additional constraints. China controls <SPAN text-color=""#FF6B35"">87% of rare earth processing capacity</SPAN>, with no significant alternative supply sources operational before 2028. Mountain Pass and Lynas facilities provide limited diversification but insufficient scale to reduce Chinese dependence below 70% market share.</SPAN></P>       </DIV>     </COLUMNS>   </DIV> </SECTION>"
